SubmissionDate,starttime,endtime,duration,consent,age,gender,degree,international,closure_cam,closure_res,closure_date,location,location_perm,living,vulnerable,quarantine,experienced,dis_label,dis_healthcare,dis_internet,dis_academic,dis_social,dis_psych,change,fin_exp,fin_inc,fin_aid,fin_debt,exp_type,exp_more,exp_less,inc_more,inc_less,aid_more,aid_less,debt_more,debt_less,inst_response,anx_label,anx_nextmo,anx_summer,anx_longterm,inst_country,country,consent_l,gender_l,degree_l,international_l,closure_cam_l,closure_res_l,location_l,location_perm_l,living_l,vulnerable_l,quarantine_l,dis_healthcare_l,dis_internet_l,dis_academic_l,dis_social_l,dis_psych_l,fin_exp_l,fin_inc_l,fin_aid_l,fin_debt_l,inst_response_l,anx_nextmo_l,anx_summer_l,anx_longterm_l,inst_country_l,country_l,starttime_l,endtime_l,duration_m,duration_m_bins,KEY
2020-03-26T20:18:47.489Z,2020-03-26T20:14:11.009Z,2020-03-26T20:18:47.454Z,276,1,29,1,3,1,1,0,2020-03-16,2,0,1,0,0,4,,0,0,1,1,1,,2,2,2,2,,,,,,,,,,2,,1,1,3,0,0,Yes,Woman,Doctoral,International,Yes,No,Same City,No,Roommates,No,No,N/A,N/A,Much Worse,Much Worse,Much Worse,No Change,No Change,No Change,No Change,Timely,Much Worse,Much Worse,Same,United States of America (USA),United States of America (USA),43916.84318,,4.6,< 05min,uuid:6eea9132-51d2-4374-86b3-b6c0f577320f
2020-03-26T20:23:23.636Z,2020-03-26T20:12:44.933Z,2020-03-26T20:23:23.601Z,639,1,28,1,3,0,1,0,2020-03-26,2,1,2,0,0,4,,2,2,2,1,2,,1,2,2,2,,,600,,,,,,,3,,1,1,2,0,0,Yes,Woman,Doctoral,Domestic,Yes,No,Same City,Yes,Family,No,No,Worse,Worse,Worse,Much Worse,Worse,Decreased,No Change,No Change,No Change,Too Slow,Much Worse,Much Worse,Worse,United States of America (USA),United States of America (USA),43916.84218,,10.65,< 20min,uuid:dcfed972-e812-4f55-b2de-eb84c15f94bb
2020-03-26T20:28:57.413Z,2020-03-26T20:19:12.163Z,2020-03-26T20:28:57.379Z,585,1,28,1,3,1,1,0,2020-03-16,1,1,1,0,0,4,,1,1,0,1,1,,3,2,2,2,1 3,500,,,,,,,,3,,1,1,0,0,0,Yes,Woman,Doctoral,International,Yes,No,On Campus,Yes,Roommates,No,No,Much Worse,Much Worse,N/A,Much Worse,Much Worse,Increased,No Change,No Change,No Change,Too Slow,Much Worse,Much Worse,N/A,United States of America (USA),United States of America (USA),43916.84667,,9.75,< 10min,uuid:0c54d613-c231-4e6d-80af-bf064a3e7b0b
2020-03-26T20:31:24.684Z,2020-03-26T20:25:23.356Z,2020-03-26T20:31:24.651Z,361,1,30,1,3,0,1,0,2020-03-16,2,1,3,0,0,,,3,3,3,1,2,,2,2,2,2,,,,,,,,,,2,,1,1,3,33,33,Yes,Woman,Doctoral,Domestic,Yes,No,Same City,Yes,Alone,No,No,Same,Same,Same,Much Worse,Worse,No Change,No Change,No Change,No Change,Timely,Much Worse,Much Worse,Same,Canada,Canada,43916.85096,,6.016666667,< 10min,uuid:f7f12518-15bc-4e61-a60b-bc6273cfdab5
2020-03-26T20:33:49.878Z,2020-03-26T20:28:12.695Z,2020-03-26T20:33:49.848Z,337,1,,1,3,1,1,0,2020-03-09,1,1,1,0,0,,,0,3,1,1,2,,2,2,2,2,,,,,,,,,,2,,1,2,0,0,0,Yes,Woman,Doctoral,International,Yes,No,On Campus,Yes,Roommates,No,No,N/A,Same,Much Worse,Much Worse,Worse,No Change,No Change,No Change,No Change,Timely,Much Worse,Worse,N/A,United States of America (USA),United States of America (USA),43916.85292,,5.616666667,< 10min,uuid:3cfb3fec-c6ae-4d9b-848e-49ec331e9b54
2020-03-26T20:38:49.186Z,2020-03-26T20:21:23.576Z,2020-03-26T20:38:49.161Z,1046,1,26,2,3,0,1,0,2020-03-20,2,1,1,0,0,,,3,3,2,2,3,,3,2,2,2,5,100,,,,,,,,2,,1,2,2,0,0,Yes,Man,Doctoral,Domestic,Yes,No,Same City,Yes,Roommates,No,No,Same,Same,Worse,Worse,Same,Increased,No Change,No Change,No Change,Timely,Much Worse,Worse,Worse,United States of America (USA),United States of America (USA),43916.84818,,17.43333333,< 20min,uuid:258f63ee-45dc-4bca-a47f-2fa0d81873c3
2020-03-26T20:41:17.037Z,2020-03-26T20:38:36.666Z,2020-03-26T20:41:17.007Z,160,1,29,1,3,1,1,0,2020-03-26,1,1,1,0,1,2 3 2004,,1,2,1,1,1,,3,2,2,2,1 3 2004,,,,,,,,,2,,1,1,2,0,0,Yes,Woman,Doctoral,International,Yes,No,On Campus,Yes,Roommates,No,Yes,Much Worse,Worse,Much Worse,Much Worse,Much Worse,Increased,No Change,No Change,No Change,Timely,Much Worse,Much Worse,Worse,United States of America (USA),United States of America (USA),43916.86014,,2.666666667,< 05min,uuid:e8630c9c-3086-4a04-9f62-d32901851887
2020-03-26T20:42:50.410Z,2020-03-26T20:30:11.666Z,2020-03-26T20:42:50.369Z,759,1,26,1,3,0,1,0,2020-03-06,2,1,3,0,0,,,1,3,2,1,2,,2,2,2,2,,,,,,,,,,2,,3,2,3,33,33,Yes,Woman,Doctoral,Domestic,Yes,No,Same City,Yes,Alone,No,No,Much Worse,Same,Worse,Much Worse,Worse,No Change,No Change,No Change,No Change,Timely,Same,Worse,Same,Canada,Canada,43916.85429,,12.65,< 20min,uuid:ee16753e-2255-4fd6-b05f-9b3ece73364f
2020-03-26T20:53:41.598Z,2020-03-26T20:39:14.530Z,2020-03-26T20:53:41.558Z,867,1,29,2,3,0,1,0,2020-03-16,2,1,2,0,0,1,,2,1,1,1,1,,3,2,2,2,1 4 2005,300,,,,,,,,3,,1,1,1,0,0,Yes,Man,Doctoral,Domestic,Yes,No,Same City,Yes,Family,No,No,Worse,Much Worse,Much Worse,Much Worse,Much Worse,Increased,No Change,No Change,No Change,Too Slow,Much Worse,Much Worse,Much Worse,United States of America (USA),United States of America (USA),43916.86058,,14.45,< 20min,uuid:12b1a662-7ee9-4731-ba5a-9a5f6f89c252
2020-03-26T20:54:43.908Z,2020-03-26T20:48:21.238Z,2020-03-26T20:54:43.859Z,383,1,33,1,3,1,1,0,2020-03-26,2,1,1,0,0,4,,1,2,2,1,1,,2,2,2,2,,,,,,,,,,2,,1,1,1,0,0,Yes,Woman,Doctoral,International,Yes,No,Same City,Yes,Roommates,No,No,Much Worse,Worse,Worse,Much Worse,Much Worse,No Change,No Change,No Change,No Change,Timely,Much Worse,Much Worse,Much Worse,United States of America (USA),United States of America (USA),43916.86691,,6.383333333,< 10min,uuid:ebcd4a1c-82b1-4a0b-86bb-a3287afff3f5
2020-03-26T21:01:50.111Z,2020-03-26T20:58:55.699Z,2020-03-26T21:01:50.081Z,174,1,,1,2,0,1,,2020-03-13,2,1,2,0,0,,,2,3,2,1,3,,1,2,2,2,,,,,,,,,,2,,1,1,3,33,33,Yes,Woman,Masters,Domestic,Yes,No,Same City,Yes,Family,No,No,Worse,Same,Worse,Much Worse,Same,Decreased,No Change,No Change,No Change,Timely,Much Worse,Much Worse,Same,Canada,Canada,43916.87425,,2.9,< 05min,uuid:8ace6757-6dd9-4a1e-ad33-a059cb501fd0
2020-03-26T21:06:07.165Z,2020-03-26T20:48:55.285Z,2020-03-26T21:06:07.126Z,1032,1,25,1,3,0,1,0,2020-03-14,3,1,2,0,0,,,3,3,3,2,4,,2,2,2,2,,,,,,,,,,2,,3,2,1,0,0,Yes,Woman,Doctoral,Domestic,Yes,No,Different City,Yes,Family,No,No,Same,Same,Same,Worse,Better,No Change,No Change,No Change,No Change,Timely,Same,Worse,Much Worse,United States of America (USA),United States of America (USA),43916.8673,,17.2,< 20min,uuid:0069ec3b-5bac-43b8-b531-f5503787b0e0
2020-03-26T21:22:33.429Z,2020-03-26T21:14:42.696Z,2020-03-26T21:22:33.364Z,471,1,23,2,2,1,1,1,2020-03-16,3,0,2,0,0,,,0,3,3,1,3,,2,2,2,2,,,,,,,,,,2,,2,1,3,0,0,Yes,Man,Masters,International,Yes,Yes,Different City,No,Family,No,No,N/A,Same,Same,Much Worse,Same,No Change,No Change,No Change,No Change,Timely,Worse,Much Worse,Same,United States of America (USA),United States of America (USA),43916.88521,,7.85,< 10min,uuid:25ac8a13-d871-4924-a1eb-202f8adb5503
2020-03-26T21:25:21.326Z,2020-03-26T21:20:19.917Z,2020-03-26T21:25:21.294Z,301,1,30,1,3,1,1,1,2020-03-11,2,0,1,0,1,4,,1,2,1,1,1,,2,1,2,2,,,,,4000,,,,,3,,1,1,1,0,0,Yes,Woman,Doctoral,International,Yes,Yes,Same City,No,Roommates,No,Yes,Much Worse,Worse,Much Worse,Much Worse,Much Worse,No Change,Decreased,No Change,No Change,Too Slow,Much Worse,Much Worse,Much Worse,United States of America (USA),United States of America (USA),43916.88911,,5.016666667,< 10min,uuid:f5ca6590-fc1b-4d6f-9e1d-3ce16943c182
2020-03-26T21:26:14.904Z,2020-03-26T21:18:01.482Z,2020-03-26T21:26:14.867Z,493,1,24,1,2,0,1,1,2020-03-16,2,1,3,0,0,,,3,3,2,1,1,,2,2,2,2,,,,,,,,,,2,,1,1,2,0,0,Yes,Woman,Masters,Domestic,Yes,Yes,Same City,Yes,Alone,No,No,Same,Same,Worse,Much Worse,Much Worse,No Change,No Change,No Change,No Change,Timely,Much Worse,Much Worse,Worse,United States of America (USA),United States of America (USA),43916.88751,,8.216666667,< 10min,uuid:2a9aaee8-3621-4699-a422-c00716779b0a
